"c..Comparative.210Pb..137Cs..and.pollen.geochronologies.of.sediments.from.Lakes.Ontario.and.Erie...","c..Environmental.changes.during.the.past.2000.years.in.north.central.Wisconsin..Analysis.of.pollen..charcoal..and.seeds.from.varved.lake.sediments...","c..Climatic.Changes.During.the.Quaternary.Period....The.Late..and.Post.Glacial.Vegetational.History.of.the.Southwestern.Jura...","c..Quaternary.Sediments....THE.LATE..AND.POST.GLACIAL.HISTORY.OF.THE.GORDANO.VALLEY..NORTH.SOMERSET...","c..Ice.sheet.initiation.and.climatic.influences.of.expanded.snow.cover.in.Arctic.Canada...","c..Comparative.210Pb..137Cs..and.pollen.geochronologies.of.sediments.from.Lakes.Ontario.and.Erie....1","c..Environmental.changes.during.the.past.2000.years.in.north.central.Wisconsin..Analysis.of.pollen..charcoal..and.seeds.from.varved.lake.sediments....1","c..Climatic.Changes.During.the.Quaternary.Period....The.Late..and.Post.Glacial.Vegetational.History.of.the.Southwestern.Jura....1","c..Quaternary.Sediments....THE.LATE..AND.POST.GLACIAL.HISTORY.OF.THE.GORDANO.VALLEY..NORTH.SOMERSET....1"
"Changes in late Quaternary vegetation and insect communities in southwestern Ontario","Structure and Change: An Economic History of Quebec. By Robert Armstrong. (Agincourt, Ontario: Gage Publishing Co., 1984. xxi + 295 pp. $9.95.)","Structure and Change: An Economic History of Quebec. By Robert Armstrong. Toronto, Ontario: Gage Publishing Ltd., 1984. Pp. xxi, 295. $9.95 paper.","A preliminary study of aquatic insect communities and leaf decomposition in acid streams near Dorset, Ontario","Late Quaternary vegetation near Battle Ground Lake, southern Puget Trough, Washington","Changes in late Quaternary vegetation and insect communities in southwestern Ontario","Structure and Change: An Economic History of Quebec. By Robert Armstrong. (Agincourt, Ontario: Gage Publishing Co., 1984. xxi + 295 pp. $9.95.)","Structure and Change: An Economic History of Quebec. By Robert Armstrong. Toronto, Ontario: Gage Publishing Ltd., 1984. Pp. xxi, 295. $9.95 paper.","A preliminary study of aquatic insect communities and leaf decomposition in acid streams near Dorset, Ontario"
"Wet early to middle Holocene conditions on the upper Coastal Plain of North Carolina, USA","Spatial and temporal patterns in fish assemblages of upper coastal plain streams, Mississippi, USA","Effects of clearcutting with corridor retention on abundance, richness, and diversity of small mammals in the Coastal Plain of South Carolina, USA","Middle-Holocene mobilization of aeolian sand in western upper Michigan and the potential relationship with climate and fire","Prospects for interregional correlations using Wisconsin and Holocene aridity episodes, northern Gulf of Mexico coastal plain","Wet early to middle Holocene conditions on the upper Coastal Plain of North Carolina, USA","Spatial and temporal patterns in fish assemblages of upper coastal plain streams, Mississippi, USA","Effects of clearcutting with corridor retention on abundance, richness, and diversity of small mammals in the Coastal Plain of South Carolina, USA","Middle-Holocene mobilization of aeolian sand in western upper Michigan and the potential relationship with climate and fire"
"Rates of Deforestation in Los Tuxtlas, a Neotropical Area in Southeast Mexico","Los mecanismos de protección del patrimonio arqueológico","Enrichment planting in a tropical secondary forest in Veracruz, Mexico","El dolmen de “El alto de la Tejera” (Carrascosa de la Sierra, Soria). El fenómeno megalítico en el Alto Duero","Medicinal plants used in some rural populations of Oaxaca, Puebla and Veracruz, Mexico","Rates of Deforestation in Los Tuxtlas, a Neotropical Area in Southeast Mexico","Los mecanismos de protección del patrimonio arqueológico","Enrichment planting in a tropical secondary forest in Veracruz, Mexico","El dolmen de “El alto de la Tejera” (Carrascosa de la Sierra, Soria). El fenómeno megalítico en el Alto Duero"
"A 5000-year record of agriculture and tropical forest clearance in the Tuxtlas, Veracruz, Mexico","Dung and carrion beetles in tropical rain forest fragments and agricultural habitats at Los Tuxtlas, Mexico","Vocabulario popoluca de Sayula: Veracruz, México By Lawrence E. Clark","The Rejuvenation of Two Gas Basins in Mexico: Burgos and Veracruz","Rejecting Progress in Paradise: Huastecs, the Environment, and the Oil Industry in Veracruz, Mexico, 1900-1935","A 5000-year record of agriculture and tropical forest clearance in the Tuxtlas, Veracruz, Mexico","Dung and carrion beetles in tropical rain forest fragments and agricultural habitats at Los Tuxtlas, Mexico","Vocabulario popoluca de Sayula: Veracruz, México By Lawrence E. Clark","The Rejuvenation of Two Gas Basins in Mexico: Burgos and Veracruz"
"Identification of Plant Fragments and Pollen from Peat deposits in Rangitaiki Plains and Maketu Basins","Late Wisconsin Glaciation of the Southwestern Gulf of Maine: New Evidence from the Marine Environment","A LATE- AND POST-GLACIAL POLLEN DIAGRAM FROM CRANBERRY BOG, NEAR BEAMISH, COUNTY DURHAM","A pollen diagram and macrofossils from Kettlehole Bog Cass, South Island, New Zealand","Contributions to the Quaternary History of the New Zealand Flora","Identification of Plant Fragments and Pollen from Peat deposits in Rangitaiki Plains and Maketu Basins","Late Wisconsin Glaciation of the Southwestern Gulf of Maine: New Evidence from the Marine Environment","A LATE- AND POST-GLACIAL POLLEN DIAGRAM FROM CRANBERRY BOG, NEAR BEAMISH, COUNTY DURHAM","A pollen diagram and macrofossils from Kettlehole Bog Cass, South Island, New Zealand"
"Palynological Evidence for Late- and Postglacial Environmental Change in Central Colorado","Late glacial and postglacial environmental changes: Quaternary, carboniferous-permian, and proterozoic","The isotope and stratigraphic evidence of late neoproterozoic global change in CENTRAL South America — Brazil","Late Glacial and Postglacial Environmental Changes Edited by I. P. Martini Oxford University Press, Oxford (1997). 343 pages £49.50. ISBN 0 19 508541 8","Late-Quaternary Landscape Response to Environmental Change in South-Central Kansas","Palynological Evidence for Late- and Postglacial Environmental Change in Central Colorado","Late glacial and postglacial environmental changes: Quaternary, carboniferous-permian, and proterozoic","The isotope and stratigraphic evidence of late neoproterozoic global change in CENTRAL South America — Brazil","Late Glacial and Postglacial Environmental Changes Edited by I. P. Martini Oxford University Press, Oxford (1997). 343 pages £49.50. ISBN 0 19 508541 8"
"Late Pleistocene historical geomorphology of the Lake Pukaki area, New Zealand","Pleistocene Geology in a Part of the Kansas City Area","Geology of Teslin map-area, Yukon Territory","Geology of Beechey Lake map - area","Surficial Geology, Nicola map - area","Late Pleistocene historical geomorphology of the Lake Pukaki area, New Zealand","Pleistocene Geology in a Part of the Kansas City Area","Geology of Teslin map-area, Yukon Territory","Geology of Beechey Lake map - area"
"Impact of millennial-scale Holocene climate variability on eastern North American terrestrial ecosystems: pollen-based climatic reconstruction","Mid-Holocene climatic variability reconstruction from pollen records (32°–52°S, Argentina)","Integrated diatom-pollen based Holocene environmental reconstruction of lake Las Margaritas, eastern savannas of Colombia","Sedimentary environmental changes and millennial climatic variability in a tropical shallow lake (Lake Ossa, Cameroon) during the Holocene","Quantitative reconstruction of Holocene climate from the Chuna Lake pollen record, Kola Peninsula, northwest Russia","Impact of millennial-scale Holocene climate variability on eastern North American terrestrial ecosystems: pollen-based climatic reconstruction","Mid-Holocene climatic variability reconstruction from pollen records (32°–52°S, Argentina)","Integrated diatom-pollen based Holocene environmental reconstruction of lake Las Margaritas, eastern savannas of Colombia","Sedimentary environmental changes and millennial climatic variability in a tropical shallow lake (Lake Ossa, Cameroon) during the Holocene"
"Diatom, Pollen, and Chemical Evidence of Postglacial Climatic Change at Big Lake, South-Central British Columbia, Canada","Geological setting of Paleozoic strata in the Mount Todd - Adams Lake region, south-central British Columbia","Fossils of the Middle Cambrian Burgess Shale, British Columbia, Canada: distribution and biostratinomic change through time","Assessment of metal concentrations in atmospheric particles from Burnaby Lake, British Columbia, Canada","Paleomagnetic reconnaissance of early Mesozoic carbonates from Williston Lake, northeastern British Columbia, Canada: evidence for late Mesozoic remagnetization","Diatom, Pollen, and Chemical Evidence of Postglacial Climatic Change at Big Lake, South-Central British Columbia, Canada","Geological setting of Paleozoic strata in the Mount Todd - Adams Lake region, south-central British Columbia","Fossils of the Middle Cambrian Burgess Shale, British Columbia, Canada: distribution and biostratinomic change through time","Assessment of metal concentrations in atmospheric particles from Burnaby Lake, British Columbia, Canada"
"Was the European Sailing Ship a Key Technology of European Expansion? Evidence from East Asia","Pollen evidence from Baode of the northern Loess Plateau of China and strong East Asian summer monsoons during the Early Pliocene","Acidification of tropical forest soils derived from serpentine and sedimentary rocks in East Kalimantan, Indonesia","Expansion and Efficiency in Banking: Evidence from Ghana","Hydrothermal activities and seawater acidification in the Late Devonian F-F transition: Evidence from geochemistry of rare earth elements","Was the European Sailing Ship a Key Technology of European Expansion? Evidence from East Asia","Pollen evidence from Baode of the northern Loess Plateau of China and strong East Asian summer monsoons during the Early Pliocene","Acidification of tropical forest soils derived from serpentine and sedimentary rocks in East Kalimantan, Indonesia","Expansion and Efficiency in Banking: Evidence from Ghana"
" Postglacial spread of hemlock ( Tsuga ) and vegetation history in Mount Revelstoke National Park, British Columbia, Canada ","Tourisme et activités récréatives dans les parcs nationaux des montagnes de l'Ouest canadien: impacts et enjeux spatiaux (Parcs nationaux Banff, Jasper, Yoho, Kootenay, Lacs Waterton, Mount Revelstoke et des Glaciers) / Recreative activities and tourism in Canada's Rockies National parks: spatial issues and impacts (Banff, Jasper, Yoho, Kootenay, Waterton Lakes, Mount Revelstoke and Glacier National Parks)","Coastal rainforest connections disclosed through a Late Quaternary vegetation, climate, and fire history investigation from the Mountain Hemlock Zone on southern Vancouver Island, British Colombia, Canada","Late Pleistocene coastal paleogeography of the Queen Charlotte Islands, British Columbia, Canada, and its implications for terrestrial biogeography and early postglacial human occupation","Patterns of bryophyte diversity in humid coastal and inland cedar<U+0096>hemlock forests of British Columbia"," Postglacial spread of hemlock ( Tsuga ) and vegetation history in Mount Revelstoke National Park, British Columbia, Canada ","Tourisme et activités récréatives dans les parcs nationaux des montagnes de l'Ouest canadien: impacts et enjeux spatiaux (Parcs nationaux Banff, Jasper, Yoho, Kootenay, Lacs Waterton, Mount Revelstoke et des Glaciers) / Recreative activities and tourism in Canada's Rockies National parks: spatial issues and impacts (Banff, Jasper, Yoho, Kootenay, Waterton Lakes, Mount Revelstoke and Glacier National Parks)","Coastal rainforest connections disclosed through a Late Quaternary vegetation, climate, and fire history investigation from the Mountain Hemlock Zone on southern Vancouver Island, British Colombia, Canada","Late Pleistocene coastal paleogeography of the Queen Charlotte Islands, British Columbia, Canada, and its implications for terrestrial biogeography and early postglacial human occupation"
"THE ANTIBODIES, Volume 6","THE ANTIBODIES","Two-faced system analyzer","Untitled","Smokey Bear Dies; Buried in Own Park","THE ANTIBODIES, Volume 6","THE ANTIBODIES","Two-faced system analyzer","Untitled"
"Cattail invasion of sedge meadows following hydrologic disturbance in the Cowles Bog Wetland Complex, Indiana Dunes National Lakeshore","Social Democracy, The Roots Of Ecology, And The Preservation Of The Indiana Dunes"," Sacred Sands: The Struggle for Community in the Indiana Dunes J. Ronald Engel ","Sacred Sands: The Struggle for Community in the Indiana Dunes. By J. Ronald Engel. Middletown, Connecticut: Wesleyan University Press, 1983. xxii + 352 pp. $22.95.","Resource Management","Cattail invasion of sedge meadows following hydrologic disturbance in the Cowles Bog Wetland Complex, Indiana Dunes National Lakeshore","Social Democracy, The Roots Of Ecology, And The Preservation Of The Indiana Dunes"," Sacred Sands: The Struggle for Community in the Indiana Dunes J. Ronald Engel ","Sacred Sands: The Struggle for Community in the Indiana Dunes. By J. Ronald Engel. Middletown, Connecticut: Wesleyan University Press, 1983. xxii + 352 pp. $22.95."
"New data on an interglacial peat deposit near Makinson Inlet, Ellesmere Island, District of Franklin","Fused clusters of the Conodont Genus Belodina Ethington from the Thumb Mountain Formation (Ordovician), Ellesmere Island, District of Franklin","Geology, Buchan Gulf-Scott Inlet, District of Franklin","Progress in Lower Paleozoic stratigraphy, northern Ellesmere Island, District of Franklin","Contributions to the Quaternary history of the New Zealand flora 8. Interglacial and glacial vegetation in the Westport District, South Island","New data on an interglacial peat deposit near Makinson Inlet, Ellesmere Island, District of Franklin","Fused clusters of the Conodont Genus Belodina Ethington from the Thumb Mountain Formation (Ordovician), Ellesmere Island, District of Franklin","Geology, Buchan Gulf-Scott Inlet, District of Franklin","Progress in Lower Paleozoic stratigraphy, northern Ellesmere Island, District of Franklin"
"New data on an interglacial peat deposit near Makinson Inlet, Ellesmere Island, District of Franklin","Fused clusters of the Conodont Genus Belodina Ethington from the Thumb Mountain Formation (Ordovician), Ellesmere Island, District of Franklin","Geology, Buchan Gulf-Scott Inlet, District of Franklin","Progress in Lower Paleozoic stratigraphy, northern Ellesmere Island, District of Franklin","Contributions to the Quaternary history of the New Zealand flora 8. Interglacial and glacial vegetation in the Westport District, South Island","New data on an interglacial peat deposit near Makinson Inlet, Ellesmere Island, District of Franklin","Fused clusters of the Conodont Genus Belodina Ethington from the Thumb Mountain Formation (Ordovician), Ellesmere Island, District of Franklin","Geology, Buchan Gulf-Scott Inlet, District of Franklin","Progress in Lower Paleozoic stratigraphy, northern Ellesmere Island, District of Franklin"
